,Index,Laureate,Discipline,Year of award,Affiliation
572,,Frederick Reines,Physics,1995,"University of California, Irvine"
573,,Louis Renault,Peace,1907,Sorbonne University
574,,Charles M. Rice,Physiology or Medicine,2020,Rockefeller University
575,,Dickinson W. Richards,Physiology or Medicine,1956,Columbia University
576,,Theodore William Richards,Chemistry,1914,Harvard University
577,,Owen Willans Richardson,Physics,1928,University College London
578,,Robert Coleman Richardson,Physics,1996,Cornell University
579,,Charles Richet,Physiology or Medicine,1913,Sorbonne University
580,,Burton Richter,Physics,1976,SLAC National Accelerator Laboratory
581,,Adam Riess,Physics,2011,Johns Hopkins University
582,,Space Telescope Science Institute,,,
583,,Frederick Chapman Robbins,Physiology or Medicine,1954,Case Western Reserve University
584,,Richard J. Roberts,Physiology or Medicine,1993,New England Biolabs
585,,Robert Robinson,Chemistry,1947,University of Oxford
586,,Martin Rodbell,Physiology or Medicine,1994,National Institute of Environmental Health Sciences
587,,Heinrich Rohrer,Physics,1986,IBM Zurich Research Laboratory
588,,Paul Romer,Economics,2018,New York University Stern School of Business
589,,Wilhelm Röntgen,Physics,1901,Ludwig Maximilian University of Munich
590,,Michael Rosbash,Physiology or Medicine,2017,Brandeis University
591,,Howard Hughes Medical Institute,,,
592,,Irwin Rose,Chemistry,2004,"University of California, Irvine"
593,,Ronald Ross,Physiology or Medicine,1902,University of Liverpool
594,,Alvin E. Roth,Economics,2012,Harvard Business School
595,,Harvard University,,,
596,,James Rothman,Physiology or Medicine,2013,Yale University
597,,Francis Peyton Rous,Physiology or Medicine,1966,Rockefeller University
598,,F. Sherwood Rowland,Chemistry,1995,"University of California, Irvine"
599,,Carlo Rubbia,Physics,1984,CERN
600,,Ernst Ruska,Physics,1986,Fritz Haber Institute of the Max Planck Society
601,,Ernest Rutherford,Chemistry,1908,Victoria University of Manchester
602,,Leopold Ružička,Chemistry,1939,ETH Zurich
603,,Martin Ryle,Physics,1974,University of Cambridge
604,,Paul Sabatier,Chemistry,1912,University of Toulouse
605,,Bert Sakmann,Physiology or Medicine,1991,Max Planck Institute for Medical Research
606,,Abdus Salam,Physics,1979,Imperial College London
607,,International Centre for Theoretical Physics,,,
608,,Paul Samuelson,Economics,1970,Massachusetts Institute of Technology
